id;code;accuracy;basePower;category;description;shortDescription;name;pp;priority;type
37;thrash;100;120;Physical;Deals damage to one adjacent foe at random. The user spends two or three turns locked into this move and becomes confused after the last turn of the effect if it is not already. If the user is prevented from moving or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk, the move is used for one turn and does not confuse the user.;Lasts 2-3 turns. Confuses the user afterwards.;Thrash;10;0;Normal
38;doubleedge;100;120;Physical;If the target lost HP, the user takes recoil damage equal to 33% the HP lost by the target, rounded half up, but not less than 1 HP.;Has 33% recoil.;Double-Edge;15;0;Normal
39;tailwhip;100;0;Status;Lowers the target's Defense by 1 stage.;Lowers the foe(s) Defense by 1.;Tail Whip;30;0;Normal
40;poisonsting;100;15;Physical;Has a 30% chance to poison the target.;30% chance to poison the target.;Poison Sting;35;0;Poison
41;twineedle;100;25;Physical;Hits twice, with each hit having a 20% chance to poison the target. If the first hit breaks the target's substitute, it will take damage for the second hit.;Hits 2 times. Each hit has 20% chance to poison.;Twineedle;20;0;Bug
42;pinmissile;95;25;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Pin Missile;20;0;Bug
43;leer;100;0;Status;Lowers the target's Defense by 1 stage.;Lowers the foe(s) Defense by 1.;Leer;30;0;Normal
44;bite;100;60;Physical;Has a 30% chance to flinch the target.;30% chance to flinch the target.;Bite;25;0;Dark
45;growl;100;0;Status;Lowers the target's Attack by 1 stage.;Lowers the foe(s) Attack by 1.;Growl;40;0;Normal
46;roar;1000;0;Status;The target is forced to switch out and be replaced with a random unfainted ally. Fails if the target used Ingrain previously or has the Ability Suction Cups.;Forces the target to switch to a random ally.;Roar;20;-6;Normal
47;sing;55;0;Status;Causes the target to fall asleep.;Puts the target to sleep.;Sing;15;0;Normal
48;supersonic;55;0;Status;Causes the target to become confused.;Confuses the target.;Supersonic;20;0;Normal
49;sonicboom;90;0;Special;Deals 20 HP of damage to the target.;Always does 20 HP of damage.;Sonic Boom;20;0;Normal
50;disable;100;0;Status;For 4 turns, the target's last move used becomes disabled. Fails if one of the target's moves is already disabled, if the target has not made a move, or if the target no longer knows the move.;For 4 turns, disables the target's last move used.;Disable;20;0;Normal
51;acid;100;40;Special;Has a 10% chance to lower the target's Special Defense by 1 stage.;10% chance to lower the foe(s) Sp. Def by 1.;Acid;30;0;Poison
52;ember;100;40;Special;Has a 10% chance to burn the target.;10% chance to burn the target.;Ember;25;0;Fire
53;flamethrower;100;90;Special;Has a 10% chance to burn the target.;10% chance to burn the target.;Flamethrower;15;0;Fire
54;mist;1000;0;Status;For 5 turns, the user and its party members are protected from having their stats lowered by other Pokemon.;For 5 turns, protects user's party from stat drops.;Mist;30;0;Ice
55;watergun;100;40;Special;No additional effect.;No additional effect.;Water Gun;25;0;Water
56;hydropump;80;110;Special;No additional effect.;No additional effect.;Hydro Pump;5;0;Water
57;surf;100;90;Special;Damage doubles if the target is using Dive.;Hits adjacent Pokemon. Power doubles on Dive.;Surf;15;0;Water
58;icebeam;100;90;Special;Has a 10% chance to freeze the target.;10% chance to freeze the target.;Ice Beam;10;0;Ice
59;blizzard;70;110;Special;Has a 10% chance to freeze the target. If the weather is Hail, this move does not check accuracy.;10% chance to freeze the foe(s).;Blizzard;5;0;Ice
60;psybeam;100;65;Special;Has a 10% chance to confuse the target.;10% chance to confuse the target.;Psybeam;20;0;Psychic
61;bubblebeam;100;65;Special;Has a 10% chance to lower the target's Speed by 1 stage.;10% chance to lower the target's Speed by 1.;Bubble Beam;20;0;Water
62;aurorabeam;100;65;Special;Has a 10% chance to lower the target's Attack by 1 stage.;10% chance to lower the foe's Attack by 1.;Aurora Beam;20;0;Ice
63;hyperbeam;90;150;Special; ;User cannot move next turn.;Hyper Beam;5;0;Normal
64;peck;100;35;Physical;No additional effect.;No additional effect.;Peck;35;0;Flying
65;drillpeck;100;80;Physical;No additional effect.;No additional effect.;Drill Peck;20;0;Flying
66;submission;80;80;Physical;If the target lost HP, the user takes recoil damage equal to 1/4 the HP lost by the target, rounded half up, but not less than 1 HP.;Has 1/4 recoil.;Submission;20;0;Fighting
67;lowkick;100;0;Physical;Deals damage to the target based on its weight. Power is 20 if less than 10kg, 40 if less than 25kg, 60 if less than 50kg, 80 if less than 100kg, 100 if less than 200kg, and 120 if greater than or equal to 200kg.;More power the heavier the target.;Low Kick;20;0;Fighting
68;counter;100;0;Physical;Deals damage to the last foe to hit the user with a physical attack this turn equal to twice the HP lost by the user from that attack. If the user did not lose HP from the attack, this move deals damage with a Base Power of 1 instead. If that foe's position is no longer in use, the damage is done to a random foe in range. Only the last hit of a multi-hit attack is counted. Fails if the user was not hit by a foe's physical attack this turn.;If hit by physical attack, returns double damage.;Counter;20;-5;Fighting
69;seismictoss;100;0;Physical;Deals damage to the target equal to the user's level.;Does damage equal to the user's level.;Seismic Toss;20;0;Fighting
70;strength;100;80;Physical;No additional effect.;No additional effect.;Strength;15;0;Normal
71;absorb;100;20;Special;The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.;User recovers 50% of the damage dealt.;Absorb;25;0;Grass
72;megadrain;100;40;Special;The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.;User recovers 50% of the damage dealt.;Mega Drain;15;0;Grass
73;leechseed;90;0;Status;The Pokemon at the user's position steals 1/8 of the target's maximum HP, rounded down, at the end of each turn. If Big Root is held by the recipient, the HP recovered is 1.3x normal, rounded half down. If the target uses Baton Pass, the replacement will continue being leeched. If the target switches out or uses Rapid Spin, the effect ends. Grass-type Pokemon are immune to this move on use, but not its effect.;1/8 of target's HP is restored to user every turn.;Leech Seed;10;0;Grass
74;growth;1000;0;Status;Raises the user's Attack and Special Attack by 1 stage. If the weather is Sunny Day, raises the user's Attack and Special Attack by 2 stages.;"Raises user's Attack and Sp. Atk by 1; 2 in Sun.";Growth;20;0;Normal
75;razorleaf;95;55;Physical;Has a higher chance for a critical hit.;High critical hit ratio. Hits adjacent foes.;Razor Leaf;25;0;Grass
76;solarbeam;100;120;Special;This attack charges on the first turn and executes on the second. Power is halved if the weather is Hail, Rain Dance, or Sandstorm. If the user is holding a Power Herb or the weather is Sunny Day, the move completes in one turn.;Charges turn 1. Hits turn 2. No charge in sunlight.;Solar Beam;10;0;Grass
77;poisonpowder;75;0;Status;Poisons the target.;Poisons the target.;Poison Powder;35;0;Poison
78;stunspore;75;0;Status;Paralyzes the target.;Paralyzes the target.;Stun Spore;30;0;Grass
79;sleeppowder;75;0;Status;Causes the target to fall asleep.;Puts the target to sleep.;Sleep Powder;15;0;Grass
80;petaldance;100;120;Special;Deals damage to one adjacent foe at random. The user spends two or three turns locked into this move and becomes confused after the last turn of the effect if it is not already. If the user is prevented from moving or the attack is not successful against the target on the first turn of the effect or the second turn of a three-turn effect, the effect ends without causing confusion. If this move is called by Sleep Talk, the move is used for one turn and does not confuse the user.;Lasts 2-3 turns. Confuses the user afterwards.;Petal Dance;10;0;Grass
81;stringshot;95;0;Status;Lowers the target's Speed by 2 stages.;Lowers the foe(s) Speed by 2.;String Shot;40;0;Bug
82;dragonrage;100;0;Special;Deals 40 HP of damage to the target.;Always does 40 HP of damage.;Dragon Rage;10;0;Dragon
83;firespin;85;35;Special;"Prevents the target from switching for four or five turns; seven turns if the user is holding Grip Claw. Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute. This effect is not stackable or reset by using this or another partial-trapping move.";Traps and damages the target for 4-5 turns.;Fire Spin;15;0;Fire
84;thundershock;100;40;Special;Has a 10% chance to paralyze the target.;10% chance to paralyze the target.;Thunder Shock;30;0;Electric
85;thunderbolt;100;90;Special;Has a 10% chance to paralyze the target.;10% chance to paralyze the target.;Thunderbolt;15;0;Electric
86;thunderwave;100;0;Status;Paralyzes the target.;Paralyzes the target.;Thunder Wave;20;0;Electric
87;thunder;70;110;Special;Has a 30% chance to paralyze the target. This move can hit a target using Bounce, Fly, or Sky Drop. If the weather is Rain Dance, this move does not check accuracy. If the weather is Sunny Day, this move's accuracy is 50%.;30% chance to paralyze target. Can't miss in rain.;Thunder;10;0;Electric
88;rockthrow;90;50;Physical;No additional effect.;No additional effect.;Rock Throw;15;0;Rock
89;earthquake;100;100;Physical;Damage doubles if the target is using Dig.;Hits adjacent Pokemon. Power doubles on Dig.;Earthquake;10;0;Ground
90;fissure;30;0;Physical;Deals damage to the target equal to the target's maximum HP. Ignores accuracy and evasiveness modifiers. This attack's accuracy is equal to (user's level - target's level + 30)%, and fails if the target is at a higher level. Pokemon with the Ability Sturdy are immune.;OHKOs the target. Fails if user is a lower level.;Fissure;5;0;Ground
91;dig;100;80;Physical;This attack charges on the first turn and executes on the second. On the first turn, the user avoids all attacks other than Earthquake and Magnitude but takes double damage from them, and is also unaffected by weather. If the user is holding a Power Herb, the move completes in one turn.;Digs underground turn 1, strikes turn 2.;Dig;10;0;Ground
92;toxic;90;0;Status;Badly poisons the target. If a Poison-type Pokemon uses this move, the target cannot avoid the attack, even if the target is in the middle of a two-turn move.;Badly poisons the target.;Toxic;10;0;Poison
93;confusion;100;50;Special;Has a 10% chance to confuse the target.;10% chance to confuse the target.;Confusion;25;0;Psychic
94;psychic;100;90;Special;Has a 10% chance to lower the target's Special Defense by 1 stage.;10% chance to lower the target's Sp. Def by 1.;Psychic;10;0;Psychic
95;hypnosis;60;0;Status;Causes the target to fall asleep.;Puts the target to sleep.;Hypnosis;20;0;Psychic
96;meditate;1000;0;Status;Raises the user's Attack by 1 stage.;Raises the user's Attack by 1.;Meditate;40;0;Psychic
97;agility;1000;0;Status;Raises the user's Speed by 2 stages.;Raises the user's Speed by 2.;Agility;30;0;Psychic
98;quickattack;100;40;Physical;No additional effect.;Usually goes first.;Quick Attack;30;1;Normal
99;rage;100;20;Physical;Once this move is successfuly used, the user's Attack is raised by 1 stage every time it is hit by another Pokemon's attack as long as this move is chosen for use.;Raises the user's Attack by 1 if hit during use.;Rage;20;0;Normal
100;teleport;1000;0;Status;Fails when used.;Flee from wild Pokemon battles.;Teleport;20;0;Psychic
101;nightshade;100;0;Special;Deals damage to the target equal to the user's level.;Does damage equal to the user's level.;Night Shade;15;0;Ghost
102;mimic;1000;0;Status;This move is replaced by the last move used by the target. The copied move has the maximum PP for that move. Fails if the target has not made a move, if the user has Transformed, or if the move is Chatter, Mimic, Sketch, Struggle, or Transform.;The last move the target used replaces this one.;Mimic;10;0;Normal
103;screech;85;0;Status;Lowers the target's Defense by 2 stages.;Lowers the target's Defense by 2.;Screech;40;0;Normal
104;doubleteam;1000;0;Status;Raises the user's evasiveness by 1 stage.;Raises the user's evasiveness by 1.;Double Team;15;0;Normal
105;recover;1000;0;Status;The user restores 1/2 of its maximum HP, rounded half up.;Heals the user by 50% of its max HP.;Recover;10;0;Normal
106;harden;1000;0;Status;Raises the user's Defense by 1 stage.;Raises the user's Defense by 1.;Harden;30;0;Normal
107;minimize;1000;0;Status;Raises the user's evasiveness by 2 stages. Whether or not the user's evasiveness was changed, Body Slam, Dragon Rush, Flying Press, Heat Crash, Phantom Force, Shadow Force, Steamroller, and Stomp will not check accuracy and have their damage doubled if used against the user while it is active.;Raises the user's evasiveness by 2.;Minimize;10;0;Normal
108;smokescreen;100;0;Status;Lowers the target's accuracy by 1 stage.;Lowers the target's accuracy by 1.;Smokescreen;20;0;Normal
109;confuseray;100;0;Status;Causes the target to become confused.;Confuses the target.;Confuse Ray;10;0;Ghost
110;withdraw;1000;0;Status;Raises the user's Defense by 1 stage.;Raises the user's Defense by 1.;Withdraw;40;0;Water
111;defensecurl;1000;0;Status;Raises the user's Defense by 1 stage. As long as the user remains active, the power of the user's Ice Ball and Rollout will be doubled (this effect is not stackable).;Raises the user's Defense by 1.;Defense Curl;40;0;Normal
112;barrier;1000;0;Status;Raises the user's Defense by 2 stages.;Raises the user's Defense by 2.;Barrier;20;0;Psychic
113;lightscreen;1000;0;Status;For 5 turns, the user and its party members take 0.5x damage from special attacks, or 0.66x damage if in a Double or Triple Battle. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break or Defog. Lasts for 8 turns if the user is holding Light Clay.;For 5 turns, special damage to allies is halved.;Light Screen;30;0;Psychic
114;haze;1000;0;Status;Resets the stat stages of all active Pokemon to 0.;Eliminates all stat changes.;Haze;30;0;Ice
115;reflect;1000;0;Status;For 5 turns, the user and its party members take 0.5x damage from physical attacks, or 0.66x damage if in a Double or Triple Battle. Critical hits ignore this protection. It is removed from the user's side if the user or an ally is successfully hit by Brick Break or Defog. Brick Break removes the effect before damage is calculated. Lasts for 8 turns if the user is holding Light Clay.;For 5 turns, physical damage to allies is halved.;Reflect;20;0;Psychic
116;focusenergy;1000;0;Status;Raises the user's chance for a critical hit by 2 stages. Fails if the user already has the effect. Baton Pass can be used to transfer this effect to an ally.;Raises the user's critical hit ratio by 2.;Focus Energy;30;0;Normal
117;bide;1000;0;Physical;The user spends two turns locked into this move and then, on the second turn after using this move, the user attacks the last Pokemon that hit it, inflicting double the damage in HP it lost during the two turns. If the last Pokemon that hit it is no longer on the field, the user attacks a random foe instead. If the user is prevented from moving during this move's use, the effect ends. This move does not check accuracy.;"Waits 2 turns; deals double the damage taken.";Bide;10;1;Normal
118;metronome;1000;0;Status;A random move is selected for use, other than After You, Assist, Belch, Bestow, Celebrate, Chatter, Copycat, Counter, Covet, Crafty Shield, Destiny Bond, Detect, Diamond Storm, Endure, Feint, Focus Punch, Follow Me, Freeze Shock, Happy Hour, Helping Hand, Hold Hands, Hyperspace Hole, Ice Burn, King's Shield, Light of Ruin, Mat Block, Me First, Metronome, Mimic, Mirror Coat, Mirror Move, Nature Power, Protect, Quash, Quick Guard, Rage Powder, Relic Song, Secret Sword, Sketch, Sleep Talk, Snarl, Snatch, Snore, Spiky Shield, Steam Eruption, Struggle, Switcheroo, Techno Blast, Thief, Thousand Arrows, Thousand Waves, Transform, Trick, V-create, or Wide Guard.;Picks a random move.;Metronome;10;0;Normal
119;mirrormove;1000;0;Status;The user uses the last move used by the target. The copied move is used against that target, if possible. Fails if the target has not made a move, or the last move used was Acupressure, After You, Aromatherapy, Aromatic Mist, Belch, Conversion 2, Counter, Crafty Shield, Curse, Doom Desire, Electric Terrain, Final Gambit, Flower Shield, Focus Punch, Future Sight, Grassy Terrain, Gravity, Guard Split, Hail, Happy Hour, Haze, Heal Bell, Heal Pulse, Helping Hand, Hold Hands, Ion Deluge, Light Screen, Lucky Chant, Magnetic Flux, Mat Block, Me First, Mimic, Mirror Coat, Mirror Move, Mist, Misty Terrain, Mud Sport, Nature Power, Perish Song, Power Split, Psych Up, Quick Guard, Rain Dance, Reflect, Reflect Type, Role Play, Rototiller, Safeguard, Sandstorm, Sketch, Spikes, Spit Up, Stealth Rock, Sticky Web, Struggle, Sunny Day, Tailwind, Toxic Spikes, Transform, Water Sport, Wide Guard, or any move that is self-targeting.;User uses the target's last used move against it.;Mirror Move;20;0;Flying
120;selfdestruct;100;200;Physical;The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Ability Damp.;Hits adjacent Pokemon. The user faints.;Self-Destruct;5;0;Normal
121;eggbomb;75;100;Physical;No additional effect.;No additional effect.;Egg Bomb;10;0;Normal
122;lick;100;30;Physical;Has a 30% chance to paralyze the target.;30% chance to paralyze the target.;Lick;30;0;Ghost
123;smog;70;30;Special;Has a 40% chance to poison the target.;40% chance to poison the target.;Smog;20;0;Poison
124;sludge;100;65;Special;Has a 30% chance to poison the target.;30% chance to poison the target.;Sludge;20;0;Poison
125;boneclub;85;65;Physical;Has a 10% chance to flinch the target.;10% chance to flinch the target.;Bone Club;20;0;Ground
126;fireblast;85;110;Special;Has a 10% chance to burn the target.;10% chance to burn the target.;Fire Blast;5;0;Fire
127;waterfall;100;80;Physical;Has a 20% chance to flinch the target.;20% chance to flinch the target.;Waterfall;15;0;Water
128;clamp;85;35;Physical;"Prevents the target from switching for four or five turns; seven turns if the user is holding Grip Claw. Causes damage to the target equal to 1/8 of its maximum HP (1/6 if the user is holding Binding Band), rounded down, at the end of each turn during effect. The target can still switch out if it is holding Shed Shell or uses Baton Pass, Parting Shot, U-turn, or Volt Switch. The effect ends if either the user or the target leaves the field, or if the target uses Rapid Spin or Substitute. This effect is not stackable or reset by using this or another partial-trapping move.";Traps and damages the target for 4-5 turns.;Clamp;15;0;Water
129;swift;1000;60;Special;This move does not check accuracy.;This move does not check accuracy. Hits foes.;Swift;20;0;Normal
130;skullbash;100;130;Physical;This attack charges on the first turn and executes on the second. Raises the user's Defense by 1 stage on the first turn. If the user is holding a Power Herb, the move completes in one turn.;Raises user's Defense by 1 on turn 1. Hits turn 2.;Skull Bash;10;0;Normal
131;spikecannon;100;20;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Spike Cannon;15;0;Normal
132;constrict;100;10;Physical;Has a 10% chance to lower the target's Speed by 1 stage.;10% chance to lower the target's Speed by 1.;Constrict;35;0;Normal
133;amnesia;1000;0;Status;Raises the user's Special Defense by 2 stages.;Raises the user's Sp. Def by 2.;Amnesia;20;0;Psychic
134;kinesis;80;0;Status;Lowers the target's accuracy by 1 stage.;Lowers the target's accuracy by 1.;Kinesis;15;0;Psychic
135;softboiled;1000;0;Status;The user restores 1/2 of its maximum HP, rounded half up.;Heals the user by 50% of its max HP.;Soft-Boiled;10;0;Normal
136;highjumpkick;90;130;Physical;If this attack is not successful, the user loses half of its maximum HP, rounded down, as crash damage. Pokemon with the Ability Magic Guard are unaffected by crash damage.;User is hurt by 50% of its max HP if it misses.;High Jump Kick;10;0;Fighting
137;glare;100;0;Status;Paralyzes the target.;Paralyzes the target.;Glare;30;0;Normal
138;dreameater;100;100;Special;The target is unaffected by this move unless it is asleep. The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.;User gains 1/2 HP inflicted. Sleeping target only.;Dream Eater;15;0;Psychic
139;poisongas;90;0;Status;Poisons the target.;Poisons the foe(s).;Poison Gas;40;0;Poison
140;barrage;85;15;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Barrage;20;0;Normal
141;leechlife;100;20;Physical;The user recovers 1/2 the HP lost by the target, rounded half up. If Big Root is held by the user, the HP recovered is 1.3x normal, rounded half down.;User recovers 50% of the damage dealt.;Leech Life;15;0;Bug
142;lovelykiss;75;0;Status;Causes the target to fall asleep.;Puts the target to sleep.;Lovely Kiss;10;0;Normal
143;skyattack;90;140;Physical;Has a 30% chance to flinch the target and a higher chance for a critical hit. This attack charges on the first turn and executes on the second. If the user is holding a Power Herb, the move completes in one turn.;Charges, then hits turn 2. 30% flinch. High crit.;Sky Attack;5;0;Flying
144;transform;1000;0;Status;The user transforms into the target. The target's current stats, stat stages, types, moves, Ability, weight, gender, and sprite are copied. The user's level and HP remain the same and each copied move receives only 5 PP, with a maximum of 5 PP each. The user can no longer change formes if it would have the ability to do so. This move fails if the target has a substitute, if either the user or the target is already transformed, or if either is behind an Illusion.;Copies target's stats, moves, types, and Ability.;Transform;10;0;Normal
145;bubble;100;40;Special;Has a 10% chance to lower the target's Speed by 1 stage.;10% chance to lower the foe(s) Speed by 1.;Bubble;30;0;Water
146;dizzypunch;100;70;Physical;Has a 20% chance to confuse the target.;20% chance to confuse the target.;Dizzy Punch;10;0;Normal
147;spore;100;0;Status;Causes the target to fall asleep.;Puts the target to sleep.;Spore;15;0;Grass
148;flash;100;0;Status;Lowers the target's accuracy by 1 stage.;Lowers the target's accuracy by 1.;Flash;20;0;Normal
149;psywave;100;0;Special;Deals damage to the target equal to (user's level) * (X+50) / 100, where X is a random number from 0 to 100, rounded down, but not less than 1 HP.;Random damage equal to 0.5x-1.5x user's level.;Psywave;15;0;Psychic
150;splash;1000;0;Status;Nothing happens...;Does nothing (but we still love it).;Splash;40;0;Normal
151;acidarmor;1000;0;Status;Raises the user's Defense by 2 stages.;Raises the user's Defense by 2.;Acid Armor;20;0;Poison
152;crabhammer;90;100;Physical;Has a higher chance for a critical hit.;High critical hit ratio.;Crabhammer;10;0;Water
153;explosion;100;250;Physical;The user faints after using this move, even if this move fails for having no target. This move is prevented from executing if any active Pokemon has the Ability Damp.;Hits adjacent Pokemon. The user faints.;Explosion;5;0;Normal
154;furyswipes;80;18;Physical;Hits two to five times. Has a 1/3 chance to hit two or three times, and a 1/6 chance to hit four or five times. If one of the hits breaks the target's substitute, it will take damage for the remaining hits. If the user has the Ability Skill Link, this move will always hit five times.;Hits 2-5 times in one turn.;Fury Swipes;15;0;Normal
155;bonemerang;90;50;Physical;Hits twice. If the first hit breaks the target's substitute, it will take damage for the second hit.;Hits 2 times in one turn.;Bonemerang;10;0;Ground
